Serial,Team Lead,Operator,Start,Finish,Host Serial,Index,Passed,Time,Firmware Test,MAC,Time.1,Serial Test,Time.2,Self-Test Test,Result,Unloaded3V3,Loaded3V3,Unloaded6V,Loaded6V,T1Freq,T1Cur,T2Freq,T2Cur,TDFreq,C1Freq,C2Freq,Time.3,Program Test,Time.4,Batch Test,Time.5,Bluetooth Test,RSSI,MAC.1,Time.6,LED Test,CurrentBase,CurrentG,CurrentR,Time.7,Button Test,Time.8,Metadata Test,Test Type,Version,Component,Batch,Sponsorship,Expiry,Firmware,Description,Time.9
101010970,KMANE,KMANE,2021-08-06T09:22:24.9460926+10:00,2021-08-06T09:22:28.7465889+10:00,682051906,2,True,3800,True,F6:79:5B:C6:9A:4E,1753,True,0.0,True,0.0,3142.0,2990.0,5908.0,4862.0,9430.0,3200.0,10330.0,2058.0,443.0,7541.0,7320.0,6.0,True,18.0,True,49.0,True,-52.0,F6:79:5B:C6:9A:4E,870.0,True,3169.0,5057.0,5452.0,228.0,True,589.0,True,CovidHomeAg,4.0,N/A ,21192-473,Sponsored,2022-08-31,89.1.607,F1000227 COVID Ag,275.0
101010971,KMANE,KMANE,2021-08-06T09:00:45.6421961+10:00,2021-08-06T09:00:50.4562404+10:00,682630989,1,True,4814,True,CC:72:08:41:42:A5,1768,True,0.0,True,0.0,3156.0,3030.0,5940.0,4878.0,8166.0,3152.0,9925.0,1972.0,114.0,7574.0,7759.0,54.0,True,17.0,True,35.0,True,-53.0,CC:72:08:41:42:A5,1640.0,True,3280.0,5084.0,5239.0,430.0,True,592.0,True,CovidHomeAg,4.0,N/A ,21192-473,Sponsored,2022-08-31,89.1.607,F1000227 COVID Ag,272.0
101010972,KMANE,KMANE,2021-08-06T09:19:05.3109482+10:00,2021-08-06T09:19:09.8070495+10:00,682630989,1,True,4496,True,EE:B5:EB:3E:C2:5B,1919,True,0.0,True,0.0,3124.0,2967.0,5977.0,4921.0,5838.0,3265.0,9278.0,2074.0,897.0,6831.0,6968.0,490.0,True,17.0,True,44.0,True,-53.0,EE:B5:EB:3E:C2:5B,994.0,True,3273.0,5046.0,5230.0,159.0,True,591.0,True,CovidHomeAg,4.0,N/A ,21192-473,Sponsored,2022-08-31,89.1.607,F1000227 COVID Ag,275.0
101010973,KMANE,KMANE,2021-08-06T09:19:27.4842431+10:00,2021-08-06T09:19:31.7532705+10:00,682449290,4,True,4269,True,C3:EB:71:5C:38:DD,1760,True,0.0,True,0.0,3140.0,2988.0,5956.0,4868.0,6488.0,3238.0,8499.0,2128.0,812.0,6516.0,7342.0,8.0,True,8.0,True,50.0,True,-52.0,C3:EB:71:5C:38:DD,1426.0,True,3162.0,4932.0,5059.0,148.0,True,590.0,True,CovidHomeAg,4.0,N/A ,21192-473,Sponsored,2022-08-31,89.1.607,F1000227 COVID Ag,272.0
101010974,KMANE,KMANE,2021-08-06T08:52:50.6559619+10:00,2021-08-06T08:52:55.0028391+10:00,682630989,1,True,4346,True,C4:94:24:25:16:48,1808,True,0.0,True,0.0,3113.0,2942.0,5886.0,4723.0,8200.0,3206.0,11404.0,1994.0,514.0,7409.0,7711.0,52.0,True,17.0,True,50.0,True,-52.0,C4:94:24:25:16:48,1277.0,True,3232.0,5118.0,5564.0,264.0,True,600.0,True,CovidHomeAg,4.0,N/A ,21192-473,Sponsored,2022-08-31,89.1.607,F1000227 COVID Ag,271.0
101010975,KMANE,KMANE,2021-08-06T08:37:27.8923247+10:00,2021-08-06T08:37:31.8454519+10:00,682449290,4,True,3953,True,E9:3B:50:6E:36:55,1745,True,0.0,True,0.0,3116.0,2959.0,5892.0,4825.0,9101.0,3227.0,9969.0,2064.0,578.0,6754.0,7060.0,46.0,True,17.0,True,35.0,True,-53.0,E9:3B:50:6E:36:55,1030.0,True,3108.0,4936.0,5033.0,185.0,True,598.0,True,CovidHomeAg,4.0,N/A ,21192-473,Sponsored,2022-08-31,89.1.607,F1000227 COVID Ag,288.0
101010976,KMANE,KMANE,2021-08-06T09:22:17.5452265+10:00,2021-08-06T09:22:21.4942452+10:00,682449290,4,True,3949,True,E5:B7:8F:87:0A:9D,1701,True,0.0,True,0.0,3065.0,2751.0,5741.0,4331.0,9498.0,3168.0,9823.0,1994.0,54.0,6776.0,7213.0,61.0,True,17.0,True,49.0,True,-52.0,E5:B7:8F:87:0A:9D,1065.0,True,3191.0,4866.0,5087.0,186.0,True,591.0,True,CovidHomeAg,4.0,N/A ,21192-473,Sponsored,2022-08-31,89.1.607,F1000227 COVID Ag,272.0
101010977,KMANE,KMANE,2021-08-06T08:29:57.9998995+10:00,2021-08-06T08:30:02.8040959+10:00,682581923,3,True,4804,True,EB:BD:EB:02:5A:12,2016,True,0.0,True,0.0,3132.0,2970.0,5881.0,4825.0,8577.0,3248.0,10318.0,1999.0,340.0,7382.0,7783.0,57.0,True,17.0,True,35.0,True,-52.0,EB:BD:EB:02:5A:12,1312.0,True,3110.0,4809.0,4934.0,475.0,True,598.0,True,CovidHomeAg,4.0,N/A ,21192-473,Sponsored,2022-08-31,89.1.607,F1000227 COVID Ag,287.0
101010978,KMANE,KMANE,2021-08-06T08:35:41.5497168+10:00,2021-08-06T08:35:45.8642995+10:00,682051906,2,True,4314,True,E7:F5:AA:D5:E0:44,2205,True,0.0,True,0.0,3167.0,3029.0,5967.0,4921.0,8654.0,3168.0,6731.0,1989.0,121.0,7692.0,7828.0,9.0,True,17.0,True,35.0,True,-52.0,E7:F5:AA:D5:E0:44,935.0,True,3169.0,5077.0,5473.0,219.0,True,601.0,True,CovidHomeAg,4.0,N/A ,21192-473,Sponsored,2022-08-31,89.1.607,F1000227 COVID Ag,288.0
101010979,KMANE,KMANE,2021-08-06T08:31:22.8620793+10:00,2021-08-06T08:31:27.0931941+10:00,682051906,2,True,4231,True,CF:41:96:5B:B3:3F,1795,True,0.0,True,0.0,3131.0,2962.0,5886.0,4798.0,8059.0,3345.0,7732.0,2064.0,612.0,7440.0,7155.0,47.0,True,17.0,True,35.0,True,-52.0,CF:41:96:5B:B3:3F,1279.0,True,3207.0,4821.0,5059.0,156.0,True,606.0,True,CovidHomeAg,4.0,N/A ,21192-473,Sponsored,2022-08-31,89.1.607,F1000227 COVID Ag,288.0
